EL ,Licensee ,Applic. date,Date of grant,Comments on Status as of 2012
628,Zhong Hua Exp & Mineral Development Company Limited (Chinese),6/5/10,8/6/10,"No evidence of financial (436,800,000/=), technical and operational resources submitted. In gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration)"
402,Chn-Henan Zhongua Geology & Mines (U) Ltd ,11/8/08,26-11-08,"No evidence of financial (299,588,000/=), technical and operational resources submitted. In gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), Notice of non-compliance, Annual surface rent defaulted"
627,Zhong Hua Exp & Mineral Development Company Limited (Chinese),3/5/10,8/6/10,"No evidence of financial (374,700,000/=), technical and operational resources submitted.In gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), Notice of non-compliance"
321,Zhong Hua Exp & Mineral Development Company Limited (Chinese),4/4/08,23-5-10,"Incomplete form, No evidence of financial (393,750,000/=), technical and operational resources submitted. In gazette, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), Notice of non-compliance, Renewed despite sub-standard reports (26-8-11), Notice to gazette ignored"
629,Zhong Hua Exp & Mineral Development Company Limited (Chinese),8/5/10,8/6/10,"No evidence of financial (436,800,000/=), technical and operational resources submitted. In gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
630,Zhong Hua Exp & Mineral Development Company Limited (Chinese),6/5/10,8/6/10,"No evidence of financial (436,800,000/=), technical and operational resources submitted. In gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
649,Zhong Hua Exp & Mineral Development Company Limited (Chinese),3/5/10,25-6-10,"No evidence of financial (436,800,000/=), technical and operational resources submitted. In gazette, IOM instructs AC/Geology to review, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
670,Sunder Wallia,14-7-10,30-7-10,"No evidence of financial (708,450,000/=), technical and operational resources submitted. Not in gazette, PIM signs for Commissioner, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (empty file), Technical resources lacking, (No significant exploration), No notice of non-compliance"
669,Sunder Wallia,14-7-10,30-7-10,"No evidence of financial (418,000,000/=), technical and operational resources submitted. Not in gazette, PIM signs for Commissioner, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (empty file), Technical resources lacking, (No significant exploration), No notice of non-compliance"
668,Sunder Wallia,22-6-10,30-7-10,"No evidence of financial (708,450,000/=), technical and operational resources submitted. Not in gazette, Applicant advised verbally (PIM), AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily  (empty file), Technical resources lacking, (No significant exploration), No notice of non-compliance"
667,Kweri Ltd (David Kyagulanyi),6/5/10,21-7-10,"Exploration program has details, Progress report are good, PG/Exploration to review but file did not reach him, Not in gazette, AC/geology should standard procedures of segregating duties"
666,East African Industrial Minerals Ltd(Kusasira Dennis),14-6-10,15-7-10,"No evidence of financial (528,600,000/=), technical and operational resources submitted. Name and nationality of directors missing (incomplete form), Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, (No significant exploration), Geologists in Geology need guideline to guide them in reviewing exploration programs. Transferred to Gulf Resources Uganda Ltd with no exploration activity undertaken, AC/Mines instructs IOM to review and advise instead of PIM or SIM"
665,AVR Eng. & Infrastructure Ltd (Sameer Rahim),11/6/10,22-7-10,"No evidence of financial (748,722,000/=), technical and operational resources submitted. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, (No significant exploration), Geologists in Geology need guideline to guide them in reviewing exploration programs. Assistant IOM signs for Commissioner notice of non-compliance"
664,AVR Eng. & Infrastructure Ltd (Pravin Ghelan),11/6/10,22-7-10,"No evidence of financial (548,300,000/=), technical and operational resources submitted. Not in gazette, Need for guideline for geologist, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, (No significant exploration), Geologists in Geology need guideline to guide them in reviewing exploration programs. No notice of non-compliance"
663,Kripto Int. Ltd (Pravin Ghelan),11/6/10,22-7-10,"No evidence of financial (831,750,000/=), technical and operational resources submitted. In gazette, Need for guideline for geologist, Expenditure and reporting conditions not complied with satisfactorily (SUB-STANDARD reports by Geologist trainees from Makerere), Technical resources lacking, (No significant exploration)"
662,Kripto Int. Ltd (Pravin Ghelan),11/6/10,22-7-10,"No evidence of financial (717,050,000/=), technical and operational resources submitted. In gazette, AC/geology comments ignored. Expenditure and reporting conditions not complied with satisfactorily (SUB-STANDARD reports by Geologist trainees from Makerere), Technical resources lacking, (No significant exploration), No notice of non-compliance"
681,Gids Consult Ltd (Ahimbisibwe Benard),23-9-09,18-8-10,"No evidence of financial (701,750,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking, (No significant exploration), No notice of non-compliance"
682,Gids Consult Ltd (Ahimbisibwe Benard),26-5-10,18-8-10,"No evidence of financial (758,050,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking, (No significant exploration), No notice of non-compliance"
680,Heer Distributors Ltd (Hitesh Patel),12/7/10,18-8-10,"No evidence of financial (216,200.000), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
679,Aurua Green Metals Ltd (Azim Nathan Canadian),12/7/10,10/8/10,"No evidence of financial (651,000,000UGX & 1,000,000 US$), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance"
678,Aurua Green Metals Ltd (Azim Nathan Canadian),14-7-10,10/8/10,"No evidence of financial (370,000,000UGX & 1,000,000 US$), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration) No notice of non-compliance"
677,Aurua Green Metals Ltd (Azim Nathan Canadian),14-7-10,10/8/10,"No evidence of financial (370,000,000UGX & 1,000,000 US$), technical and operational resources submitted. Exploration program was not reviewed by Geology Division, Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance\"
676,Aurua Green Metals Ltd (Azim Nathan Canadian),14-7-10,10/8/10,"No evidence of financial (413,000,000UGX & 1,000,000 US$), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance"
675,Aurua Green Metals Ltd (Azim Nathan Canadian),,14-7-10,"No evidence of financial (413,000,000UGX & 1,000,000 US$), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance"
673,Brig. Andrew Lutaya,15-7-10,6/8/10,"No evidence of financial (648,300,000UGX), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance"
672,Majoli Henry (Matovu Henry),7/6/10,30-7-10,"No evidence of financial (1,650 billion UGX), technical and operational resources submitted. Commissioner’s name and signature of Ag. PIM, Not in gazette, IOM signs for Commissioner, Name of Commissioner Signature of Ag. PIM, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE), Technical resources lacking, (No significant exploration), No notice of non-compliance"
671,Savanah Mines Ltd (Kodet Cornelis Lokika),9/7/10,30-7-10,"No evidence of financial (446,850,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, IOM signs for Commissioner, Name of Commissioner Signature of Ag. PIM, Expenditure and reporting conditions not complied with satisfactorily (EMPTY FILE-No active exploration), No notice of non-compliance"
696,Steel Rolling Mills,13-9-10,7/10/10,"No evidence of financial (1,120,950,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Assistant IOM signs for Commissioner, Expenditure and reporting conditions not complied with satisfactorily, though some work has been done. No notice of non-compliance"
683,Flemish Investment Ltd ,3/5/10,23-8-10,"No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty), No notice of non-compliance"
698,Gold Empire Limited ,13-7-10,21-10-10,"No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty), Technical resources lacking, (No significant exploration), No notice of non-compliance"
695,Who World Investments (Umar Ssembatya Ssonko),20-8-10,7/8/10,"No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, (No significant exploration), No notice of non-compliance"
694,Esimo Indu Lt,4/8/10,27-9-10,"No evidence of financial (US$ 258,690), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, employs young graduates from Makerere. (No significant exploration), No notice of non-compliance"
693,Esimo Indu Lt,4/8/10,27-9-10,"No evidence of financial (US$ 214,123), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking, employs young graduates from Makerere. (No significant exploration), No notice of non-compliance"
692,Gold Empire Ltd ,13-7-10,7/10/10,"No evidence of financial (536,200,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No significant exploration from 7-10-10), No notice of non-compliance"
691,Milu (U) Ltd (Abebe Wodaye),2/6/10,27-9-10,"No evidence of financial (500,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No significant exploration from 16-9-10), No notice of non-compliance."
690,Sunder Wallia Kaka,24-8-10,16-9-10,"No evidence of financial (708,450,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No significant exploration), No notice of non-compliance."
689,Alta Vista Ltd ,6/7/10,16-9-10,"No evidence of financial (US$ 2,500,525), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Technical query from Geology Division ignored IOM advises Ag. AC/Mines to grant EL, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No significant exploration), No notice of non-compliance."
687,"Heer Distributors Ltd (Hitesh K,)",25-6-10,14-910,"No evidence of financial (198,200,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Technical resources lacking (No significant exploration), No notice of non-compliance."
640,Mines Ind. Service (U) Ltd,6/5/10,16-6-10,"No evidence of financial (550,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No significant exploration), No notice of non-compliance."
639,Mines Ind. Service (U) Ltd ,6/5/10,16-5-10,"No evidence of financial (610,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No significant exploration), Transferred to Fergie Minerals & Metals Ltd with no exploration work undertaken. New licensee submits sub-standard reports, No notice of non-compliance."
638,Baracat Minerals (U) ltd ,23-3-10,17-6-10,"No evidence of financial (60,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No tangible exploration), No notice of non-compliance."
637,"Milu (U) Ltd (Wodije Abebe, Ethiopia)",22-4-10,17-6-10,"Exploration program lacks detail (need for guideline), No evidence of financial (US$ 1,490,000), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. (No tangible exploration), No notice of non-compliance."
636,Gimnat Inter (U) Ltd (Walokawu Nathan & Mujoga Atwoki) ,19-5-10,11/6/10,"Exploration program not in good standing (need for guideline) No evidence of financial (US$ 1,27 Million), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration), Transferred to Saba Saba and then to Elegant Resources Ltd with no exploration work undertaken, No notice of non-compliance."
635,Alta Vista Ltd ,5/5/10,11/6/10,"No evidence of financial (US$ 1,730,400), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration), No notice of non-compliance."
634,Aya Mining (U) Ltd,18-5-10,16-6-10,"No evidence of financial (779,580,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration), Almost empty file up to now"
633,Aya Mining (U) Ltd,18-5-10,16-6-10,"No evidence of financial, technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration)"
632,Aya Mining (U) Ltd ,18-5-10,16-6-10,"No evidence of financial (US$ 1,146,254,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration)"
631,African Mineral Fields Ltd ,15-6-10,17-6-10,"No evidence of financial (US$ 821,950), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard report), Technical resources lacking (No tangible exploration), Letter of good standing? EL holder has several other licenses like EL0308, 0309, 0310, 0328, 0631, 0357, 0368, 0359, 0369, 0585, 0586. No notice of non-compliance"
626,Tian Tang Group (U) Ltd ,13-4-10,10/6/10,"No evidence of financial (US$ 100,000), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard report), Technical resources lacking (No tangible exploration), Notice of non-compliance signed by Assistant IOM on behalf of Commissioner."
625,East African Mineral Exploration Ltd (Kibugo Fred),17-5-10,1/6/10,"No evidence of financial (US$ 1,000,000), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration), No Notice of non-compliance."
624,East Africa Mineral Exploration Ltd (Kibugo Fred),17-5-10,1/6/10,"No evidence of financial (US$ 1,000,000), technical and operational resources submitted. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking (No tangible exploration), Transferred to Goldserach Tech Services Private Ltd with no exploration undertaken. Notice of non-compliance signed by PIM for Commissioner."
623,Mota Ltd ,15-4-10,31-5-10,"Exploration licence granted by IOM, Exploration program authored from DGSM, No evidence of financial (790,529,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties,Expenditure and reporting conditions not complied with satisfactorily (empty file), Lab results not authenticity, Technical resources lacking (No tangible exploration), No notice of non-compliance."
622,Esimo Industries Ltd (Pravin Ghelan),11/5/10,8/6/10,"No evidence of financial (203,200,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Expenditure and reporting conditions not complied with satisfactorily (sub-standard reports), Lab results not authentically, Technical resources lacking (No tangible exploration  AC/Geology), No notice of non-compliance."
621,Femet (U)Ltd (Jimmy Katumba),21-5-10,28-5-10,"No evidence of financial (528,600,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties,Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking No tangible exploration, No notice of non-compliance."
620,Femet (U) ltd (Katumba Jimmy),19-5-10,25-5-10,"Exploration licence granted by IOM, No evidence of financial (528,600,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, Transferred with no exploration work undertaken to Gulf Resources Uganda Limited and to East African Industrial Minerals ltd, Licensee holds several licences like EL0603, 0604, 0606, 0607, 0608, 0609, 0610, 0611, 0612, 0620, 0621, Expenditure and reporting conditions not complied with satisfactorily (empty file), No notice of non-compliance.Technical resources lacking. No tangible exploration "
619,Mineral Research Ltd (Begumisa George) ,14-4-10,24-5-10,"No evidence of financial (200,000,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. No tangible exploration ,Transferred to Simba Mines & Mineral Resources ltd with no exploration work undertaken, Exploration work program endorsed IOM"
617,Flemish Investment Ltd (Bruce Milne),15-3-10,24-5-10,"IOM signed license, Transferred with no exploration undertaken, Incomplete form (no witness), Letter of good undertaking with no exploration undertaken, Holds several licenses like EL0304, 0303, 0329, 0420, 0555, 0617, AC/geology should standard procedures of segregating duties, No non-compliance notice. Not in gazette, Expenditure and reporting conditions not complied with satisfactorily (empty file)"
615,GIDS Consult Ltd (Ahimbisibwe),19-3-10,14-5-10,"No evidence of financial, technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. No tangible exploration, Granted in an exempt area. Annual mineral rent payment?"
,Who World Investments Ltd,31-3-10,5/5/10,"No evidence of financial (530,200,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (empty file), Technical resources lacking. No tangible exploration, Transferred to Femet (U) ltd with no exploration work undertaken, Transfer signed by IOM, Annual mineral rent payment?"
613,A.G. Mfite Basaza,30-3-10,24-5-10,"License signed by IOM, Exploration program authored from DGSM, One fair exploration report, ever since then no report, Not in gazette, No notice of non-compliance, AC/geology should standard procedures of segregating duties, No evidence of financial (459,650,000/= & 970,000,000/=), technical and operational resources submitted. Expenditure and reporting conditions not complied with satisfactorily, Technical resources lacking. No tangible exploration, No annual mineral rent?"
612,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"This company holds a “pipeline” of properties. No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (one sub-standard report), Technical resources lacking. No tangible exploration, Transferred to Saba Saba with no exploration work undertaken, Annual mineral rent payment?"
611,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (551,700,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (one sub-standard report), Technical resources lacking. No tangible exploration, Transferred to Saba Saba with no exploration work undertaken, Annual mineral rent payment?"
610,Femet (U) Ltd (Katumba Jimmy),21-4-10,30-4-10,"No evidence of financial (498,300,000/=), technical and operational resources submitted. Not in gazette, AC/geology should standard procedures of segregating duties, No notice of non-compliance. Expenditure and reporting conditions not complied with satisfactorily (one sub-standard report), Technical resources lacking. No tangible exploration, Transferred to Saba Saba with no exploration work undertaken, Annual mineral rent payment?"
